Alta gestión y gerencia,Estrategía y posicionamiento ,Comercialización y Marketing,Prototipado,investigacion y desarrollo de nuesvos productos,Asesoria legal,Asesoria contable y financiera,Habilidad de presentación del proyecto y habilidades públicas,Servicios financieros, valoración e inversión,Operaciones y procesos,Costeo de productos y servicios,Internalización de los productos o servicios
INVERSIONES PISO 3 SAS,0,0,0,1,1,1,1,1,1,1,1,1
Agencia de viajes GUIAPLANET,1,1,0,1,1,1,1,1,1,1,1,1
FUNDACION ENSALSATE,1,1,0,1,1,1,1,1,1,1,1,1
facundo sabores del mundo,1,0,0,1,0,0,0,1,0,0,1,1
Tostaky,1,1,0,1,1,1,1,1,1,1,1,1
Rivero gourmet,1,0,1,1,1,1,0,1,1,1,1,1
La Bohéme,0,0,0,1,1,1,1,0,1,1,1,0
RYC EUROAMERICAN TRAVEL SAS,0,0,0,1,0,0,1,0,1,0,1,1
VIMOB S.A.S BIC,1,1,1,1,1,1,1,1,1,1,1,1
Photo Trekking Cali,1,1,1,1,1,1,0,1,1,1,0,0
¿Dónde está Mike?,1,1,1,1,1,0,1,1,1,1,1,1
Ecoparque Tangara,1,1,0,1,0,1,1,1,1,1,1,0
Lu Postres+Tortas,1,1,0,1,1,0,1,1,1,1,1,1
GLOBAL COMERCIOS CALI,1,1,0,1,0,1,1,0,1,1,0,1
THE OFFICE BAR & LIQUORS,1,1,0,1,1,1,1,0,1,0,0,1
Wepa Tours SAS,1,0,0,1,1,1,1,1,1,1,1,1
Patio cocktails,1,0,0,1,1,1,1,1,1,0,1,1
New Orleans La SAS,1,1,1,1,1,1,1,1,1,0,1,1
Miami Disco,1,1,1,1,1,1,1,1,0,1,1,1
HOTEL INNOVA CHIPICHAPE SAS,1,1,0,1,1,1,1,1,1,1,1,1
ADOMI APLICACION DIGITAL SAS,1,0,0,1,1,1,1,1,0,1,1,1
Alma y Café Cali,1,1,0,1,1,1,0,1,0,1,0,1
Mercadillos de Colombia SAS,0,1,1,1,1,1,1,1,1,1,1,1
3 VIKINGOS SAS,1,0,1,1,1,1,1,1,1,1,1,1
MEC- Movimiento de Empresas Creativas,1,1,1,1,1,1,1,1,0,1,1,1
HOTEL FAMILIAR TONE SAS,1,1,0,1,1,1,1,1,1,1,1,1
Hotel Colina de San Antonio,1,1,0,1,1,1,1,0,1,1,0,1
Taste Academia,1,1,0,1,1,0,0,1,0,1,1,1
LA OBRA SHOW BAR,1,1,1,1,1,1,1,1,1,1,1,1
Viaja en Familia,1,1,0,1,1,1,1,1,1,1,1,1
RESERVA NATURAL LA LAGUNA DE LA SOCIEDAD CIVIL,0,0,0,1,1,1,1,1,1,1,0,0
Casa Rincón Mágico,1,0,0,1,1,1,1,1,1,1,0,1
cooking art kids,1,0,0,1,1,1,0,1,1,1,1,1
CHONTA AREPA,0,1,1,1,0,1,1,1,1,0,0,0
MFC GROUP S.A.S.,1,1,1,1,1,0,1,1,1,1,1,0
HOTEL PLAZA CALI SAS,1,1,0,1,1,1,1,1,1,1,1,1
Parkshop Sobre Ruedas,1,0,0,1,1,1,0,1,1,1,0,0
Qué Tours,1,1,0,1,1,1,0,1,1,1,0,0
Viajes y Variedades Púrpura,1,0,1,1,1,1,1,1,1,1,1,1
Promma Comunicaciones Ltda,1,1,1,1,1,1,1,1,1,1,1,1
Rutas Verdes Travel,1,1,1,1,1,0,0,1,1,1,1,1
QUBILO SAS,1,0,0,0,0,1,1,0,1,1,0,0
Sevicheria Frutos del Eden,0,0,0,1,0,1,1,1,1,1,1,1
Cacica Tours,1,0,0,1,1,1,1,1,1,1,1,0
Sogni Foods sas,0,1,1,1,1,1,0,1,1,1,1,1
